application_id,company_name,industry,loan_purpose,annual_revenue,loan_amount_requested,loan_to_revenue_ratio,years_in_business,num_employees,credit_score,debt_to_income_ratio,monthly_cash_flow,existing_loans,late_payments_12m,avg_daily_transactions,transaction_volatility,max_overdraft_30d,risk_tier,default_probability,default,application_date
APP-000001,Ellison Group,Healthcare,Business Expansion,1194727.05,272603.31,0.2282,7.3,9,731,0.4598,8598.55,0,0,34.56,0.4673,0.0,A,0.3236,1,2025-11-19
APP-000002,"Clark, Parsons and Rogers",Retail,Working Capital,58357.18,146763.94,2.5149,9.6,8,607,0.1107,834.07,0,0,22.44,0.7642,0.0,BBB,0.8386,1,2026-01-27
APP-000003,Phillips LLC,Healthcare,Research & Development,133082.25,59379.73,0.4462,6.5,68,631,0.5989,1245.9,2,4,5.92,0.7453,109.07,BBB,0.9918,1,2025-07-03
APP-000004,Mitchell-Neal,Healthcare,Debt Consolidation,58796.01,4253.25,0.0723,0.1,48,741,0.1634,959.36,1,0,48.8,0.1811,0.0,AA,0.2311,0,2025-09-04
APP-000005,Thomas-Sanchez,Technology,Business Expansion,169676.93,93418.26,0.5506,7.1,34,591,0.0758,2858.45,2,1,10.54,0.1178,15.97,BB,0.6748,1,2026-02-20
APP-000006,"Adams, Ford and Boyle",Retail,Working Capital,531533.53,182693.82,0.3437,0.0,5,662,0.4072,10450.81,4,2,12.16,0.7273,0.0,A,0.945,1,2025-07-24
APP-000007,Turner-Ellis,Media,Business Expansion,201951.67,100536.58,0.4978,0.7,12,703,0.6786,4015.17,1,1,9.0,0.7802,0.0,BB,0.8795,1,2025-06-25
APP-000008,Madden-Marshall,Retail,Research & Development,9532.45,40597.31,4.2589,7.9,19,684,0.5582,196.31,1,1,6.24,0.6098,0.0,BBB,0.948,1,2025-05-11
APP-000009,"Noble, Spencer and Gilbert",Agriculture,Real Estate,1430756.94,221989.22,0.1552,19.0,1,600,0.0993,21346.24,0,1,21.51,0.7557,208.57,BBB,0.7917,1,2025-12-17
APP-000010,Warren-Alvarado,Transportation,Debt Consolidation,2251336.13,43967.23,0.0195,1.8,29,698,0.4992,22101.73,3,2,43.9,0.2131,0.0,A,0.6766,1,2025-11-17
APP-000011,"Wright, Adams and Chapman",Technology,Working Capital,627604.85,194975.05,0.3107,1.9,63,763,0.5847,11497.97,2,0,71.41,0.2856,1806.15,BBB,0.5247,1,2025-04-16
APP-000012,Dodson Group,Energy,Equipment Purchase,769411.79,56851.93,0.0739,12.1,4,681,0.6593,15265.88,3,1,32.54,0.7767,0.0,BB,0.8024,0,2025-11-17
APP-000013,Kerr-Contreras,Finance,Working Capital,81341.58,68783.44,0.8456,0.4,5,644,0.3225,1172.68,1,2,23.42,0.5879,0.0,BBB,0.9522,1,2025-10-18
APP-000014,"Nelson, Little and Compton",Healthcare,Business Expansion,2704003.25,19367311.64,7.1625,5.0,147,704,0.2561,47130.45,2,0,53.96,0.5048,313.3,AA,0.7551,1,2025-09-26
APP-000015,"Russell, Medina and Reyes",Healthcare,Equipment Purchase,1745445.5,72607.72,0.0416,0.0,6,642,0.2822,8776.15,2,2,24.94,0.3261,0.0,BBB,0.8925,1,2025-10-14
APP-000016,Davis Ltd,Media,Equipment Purchase,90667.89,37168.97,0.4099,7.4,283,720,0.434,1375.43,2,1,30.11,0.3937,220.01,AA,0.4912,0,2026-03-17
APP-000017,Wright LLC,Transportation,Debt Consolidation,1074793.23,51140.0,0.0476,11.9,232,605,0.3995,15854.88,0,0,4.81,0.5381,0.0,BBB,0.7255,0,2026-02-04
APP-000018,"Carpenter, Roberts and Hartman",Energy,Business Expansion,62129.9,72340.7,1.1643,10.3,216,695,0.1394,733.39,2,2,5.83,0.1486,9.19,A,0.4929,1,2025-06-30
APP-000019,Flynn-Morales,Manufacturing,Research & Development,167231.52,214143.82,1.2805,9.0,83,750,0.2447,3142.48,2,0,85.85,0.6254,0.0,AAA,0.347,0,2025-05-27
APP-000020,"Mccullough, Dean and Ingram",Real Estate,Debt Consolidation,12390.15,311191.97,25.1161,1.9,10,626,0.4651,238.0,2,1,26.09,0.1076,0.0,BBB,0.9734,1,2025-12-31
